asset_no,url,img_url,subject,type,region,transfer_price,transfer_rate,description,remark,information,total_review,contact_name,contact_phone,contact_email,valuation,release_time,address,category,trade_type,area,use_area,owner,located,use_type
ZCFC005245,http://www.cnassets.com/moreInformation/house/12/12812/0.html,1,秦皇岛市海港区燕安里30-1-202号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区燕安里30-1-202号房产。建筑面积：148.89平方米。拍卖保留价：66.15035万元，竞买保证金：6万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区燕安里,
ZCFC005238,http://www.cnassets.com/moreInformation/house/12/12805/0.html,1,秦皇岛市海港区临河里42-15号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区临河里42-15号房产。建筑面积：171.74平方米。拍卖保留价：86.5226万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区临河里,
ZCFC005241,http://www.cnassets.com/moreInformation/house/12/12808/0.html,1,秦皇岛市海港区军安小区6-1-2号房产（含下房一间）,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区军安小区6-1-2号房产（含下房一间）。建筑面积：70.53平方米。拍卖保留价：30.16566万元，竞买保证金：2万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区军安小区,
ZCFC005243,http://www.cnassets.com/moreInformation/house/12/12810/0.html,1,秦皇岛市海港区燕安里33-4-502号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区燕安里33-4-502号房产。建筑面积：73.54平方米。拍卖保留价：34.92783万元，竞买保证金：2万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区燕安里,
ZCFC005247,http://www.cnassets.com/moreInformation/house/12/12814/0.html,1,唐山市路北区张大里丽景琴园S座1门1001号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	唐山市路北区张大里丽景琴园S座1门1001号房产。建筑面积：156.47平方米，拍卖保留价：144.77856万元，竞买保证金：8万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省唐山市路北区,房产,,,,,唐山市路北区张大里丽景琴园,
ZCFC005239,http://www.cnassets.com/moreInformation/house/12/12806/0.html,1,秦皇岛市海港区碧海云天小区11栋1-901号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区碧海云天小区11栋1-901号房产。建筑面积：99.5平方米。拍卖保留价：61.7696万元，竞买保证金：6万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区碧海云天小区,
ZCFC005246,http://www.cnassets.com/moreInformation/house/12/12813/0.html,1,秦皇岛市海港区燕安里29-2-202号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区燕安里29-2-202号房产。建筑面积：97.66平方米。拍卖保留价：44.27122万元，竞买保证金：3万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区燕安里,
ZCFC005242,http://www.cnassets.com/moreInformation/house/12/12809/0.html,1,秦皇岛市海港区金舍博贤院B区1号商铺三层、四层301号办公用房,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区金舍博贤院B区1号商铺三层、四层301号办公用房。三层301号建筑面积：740.81平方米；四层301号建筑面积：92.47平方米。拍卖形式：整体拍卖，拍卖保留价：276.72722万元，竞买保证金：14万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区金舍博贤院,
ZCFC005240,http://www.cnassets.com/moreInformation/house/12/12807/0.html,1,秦皇岛市海港区滨海城22栋1-8号房产（含下房一间）,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区滨海城22栋1-8号房产（含下房一间）。建筑面积：118.89平方米。拍卖保留价：144.8226万元，竞买保证金：10万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区滨海城,
ZCFC005244,http://www.cnassets.com/moreInformation/house/12/12811/0.html,1,秦皇岛市海港区燕安里32-2-401号房产,房产,河北省,面议,[u'\u9762\u8bae'],"
	秦皇岛市海港区燕安里32-2-401号房产。建筑面积：73.22平方米。拍卖保留价：34.89374万元，竞买保证金：2万元。
",声明：以上情况以买卖双方实际洽谈内容为准，发布方不就发布本信息承担任何法律责任。,1,0,,,,面议,2017.12.07,河北省秦皇岛市海港区,房产,,,,,秦皇岛市海港区燕安里,
